id,sport,start,stop,distance,longitude,latitude,highest_temperature,lowest_temperature,highest_altitude,lowest_altitude,local_time,ascent_total,descent_total,calories,max_heart_rate,duration_moving,duration_total
1628581209.0,running,2021-08-10T07:40:09+0000,2021-08-10T08:45:23+0000,7583.57,,,27,24,1198.4,1188.6,2021-08-10T05:45:23,3.0,13.0,574.0,162.0,3773.684,3882.382
1629619580.0,running,2021-08-22T08:06:20+0000,2021-08-22T09:02:13+0000,5311.48,-569830348.0,-186456558.0,27,21,1211.8,1201.6,2021-08-22T06:02:13,50.0,51.0,297.0,170.0,1846.328,1846.328
1652170311.0,running,2022-05-10T08:11:51+0000,2022-05-10T08:40:45+0000,5340.2,-569830254.0,-186456407.0,27,21,1211.0,1193.6,2022-05-10T05:40:45,47.0,55.0,322.0,181.0,1728.639,1728.639
1697183224.0,running,2023-10-13T07:47:04+0000,2023-10-13T08:43:30+0000,10230.02,-569812752.0,-186378049.0,29,26,1250.0,1236.6,2023-10-13T05:43:30,82.0,93.0,382.0,156.0,3381.4,3381.4
1627975941.0,running,2021-08-03T07:32:21+0000,2021-08-03T08:49:23+0000,8423.25,,,29,25,1163.8,1156.4,2021-08-03T05:49:23,14.0,24.0,768.0,161.0,3786.627,3786.627
1661328455.0,running,2022-08-24T08:07:35+0000,2022-08-24T08:36:42+0000,5419.57,-569830317.0,-186456528.0,27,21,1218.8,1200.4,2022-08-24T05:36:42,82.0,94.0,323.0,157.0,1743.172,1743.172
1654414702.0,running,2022-06-05T07:38:22+0000,2022-06-05T08:09:25+0000,5526.17,-569830826.0,-186456192.0,28,23,1211.6,1186.4,2022-06-05T05:09:25,57.0,71.0,341.0,158.0,1858.73,1858.73
1707378596.0,running,2024-02-08T07:49:56+0000,2024-02-08T08:58:49+0000,10861.92,-569825593.0,-186466050.0,29,23,1221.6,1151.0,2024-02-08T05:58:49,127.0,135.0,454.0,175.0,4117.861,4117.861
1669539709.0,running,2022-11-27T09:01:49+0000,2022-11-27T14:27:16+0000,42334.31,-571951507.0,-188241127.0,37,23,1164.4,1025.2,2022-11-27T11:27:16,279.0,339.0,2373.0,179.0,19512.563,19512.563
1691613696.0,running,2023-08-09T20:41:36+0000,2023-08-09T21:15:10+0000,6607.55,1654377415.0,-416416908.0,22,16,100.20000000000005,59.0,2023-08-10T06:45:10,31.0,49.0,307.0,164.0,2009.491,2009.491
1713006635.0,running,2024-04-13T11:10:35+0000,2024-04-13T12:18:53+0000,10054.0,-571532062.0,-188524807.0,29,26,1143.0,1097.8,2024-04-13T09:18:53,54.0,55.0,365.0,120.0,4090.367,4090.367
1667460588.0,running,2022-11-03T07:29:48+0000,2022-11-03T08:31:10+0000,11426.74,-569854767.0,-186466909.0,26,21,1199.6,1188.0,2022-11-03T05:31:10,87.0,98.0,898.0,188.0,3676.636,3676.636
1664521988.0,running,2022-09-30T07:13:08+0000,2022-09-30T07:42:48+0000,5345.8,-569830435.0,-186456476.0,29,25,1211.6,1198.4,2022-09-30T04:42:48,35.0,46.0,339.0,174.0,1775.006,1775.006
1697701909.0,running,2023-10-19T07:51:49+0000,2023-10-19T08:50:44+0000,10276.76,-569825949.0,-186466165.0,29,26,1224.2,1155.2,2023-10-19T05:50:44,131.0,138.0,348.0,131.0,3529.389,3529.389
1710231506.0,running,2024-03-12T08:18:26+0000,2024-03-12T09:23:22+0000,10259.32,-569826078.0,-186466019.0,31,26,1189.4,1174.6,2024-03-12T06:23:22,96.0,105.0,449.0,142.0,3889.78,3889.78
1678736919.0,running,2023-03-13T19:48:39+0000,2023-03-13T20:05:59+0000,2580.37,1652579135.0,-415798252.0,25,20,14.600000000000023,1.0,2023-03-14T06:35:59,16.0,21.0,139.0,170.0,1018.066,1018.066
1694813261.0,hiking,2023-09-15T21:27:41+0000,2023-09-15T23:42:52+0000,10257.97,1654650134.0,-416369978.0,28,15,487.79999999999995,137.39999999999998,2023-09-16T09:12:52,432.0,436.0,665.0,176.0,8105.991,8105.991
1718870019.0,running,2024-06-20T07:53:39+0000,2024-06-20T10:02:24+0000,20034.83,-569825631.0,-186466755.0,27,20,1226.4,1156.8,2024-06-20T07:02:24,217.0,226.0,647.0,176.0,7716.486,7716.486
1614845100.0,running,2021-03-04T08:05:00+0000,2021-03-04T09:55:39+0000,14916.47,,,30,26,1178.2,1161.8,2021-03-04T06:55:39,8.0,15.0,963.0,161.0,5135.011,5135.011
1692908273.0,running,2023-08-24T20:17:53+0000,2023-08-24T20:52:57+0000,6574.01,1654377512.0,-416417597.0,22,16,110.79999999999995,75.0,2023-08-25T06:22:57,39.0,41.0,305.0,155.0,2098.319,2098.319
1724141355.0,running,2024-08-20T08:09:15+0000,2024-08-20T10:06:42+0000,15245.92,-569826136.0,-186466116.0,28,21,1188.0,1156.2,2024-08-20T07:06:42,150.0,154.0,495.0,175.0,6683.782,7033.186
1711613744.0,running,2024-03-28T08:15:44+0000,2024-03-28T09:54:53+0000,16243.96,-419352279.0,-86006961.0,33,28,107.39999999999998,95.39999999999998,2024-03-28T06:54:53,32.0,39.0,711.0,155.0,5943.901,5943.901
1666509953.0,running,2022-10-23T07:25:53+0000,2022-10-23T10:00:19+0000,25450.96,-569829407.0,-186455055.0,30,26,1212.8,1193.2,2022-10-23T07:00:19,226.0,257.0,1659.0,161.0,9260.415,9260.415
1694812557.0,running,2023-09-15T21:15:57+0000,2023-09-15T21:27:28+0000,1839.22,1654443670.0,-416412763.0,20,18,147.79999999999995,104.39999999999998,2023-09-16T06:57:28,48.0,22.0,146.0,177.0,679.43,679.43
1615624500.0,running,2021-03-13T08:35:00+0000,2021-03-13T09:43:42+0000,7688.8,,,31,27,1193.0,1184.6,2021-03-13T06:43:42,3.0,11.0,500.0,162.0,2617.248,2617.248
1678129783.0,running,2023-03-06T19:09:43+0000,2023-03-06T19:52:52+0000,7236.76,1652578802.0,-415797929.0,26,20,16.200000000000045,-3.0,2023-03-07T06:22:52,22.0,31.0,435.0,180.0,2571.519,2571.519
1668757172.0,running,2022-11-18T07:39:32+0000,2022-11-18T08:14:01+0000,5205.26,-569831929.0,-186456787.0,28,24,1238.8,1191.0,2022-11-18T05:14:01,150.0,155.0,235.0,131.0,2063.841,2063.841
1686948045.0,running,2023-06-16T20:40:45+0000,2023-06-16T23:00:23+0000,25120.05,1654377594.0,-416417388.0,26,17,100.79999999999995,0.19999999999998863,2023-06-17T08:30:23,243.0,245.0,1372.0,178.0,8372.337,8372.337
1687554407.0,running,2023-06-23T21:06:47+0000,2023-06-24T00:15:59+0000,32134.19,1654377591.0,-416416426.0,27,17,100.60000000000002,-5.399999999999977,2023-06-24T09:45:59,367.0,378.0,1500.0,170.0,11344.453,11344.453
1712650977.0,running,2024-04-09T08:22:57+0000,2024-04-09T10:05:45+0000,16130.91,-569822265.0,-186465182.0,31,23,1222.4,1155.0,2024-04-09T07:05:45,195.0,198.0,538.0,120.0,6162.361,6162.361
1623139148.0,running,2021-06-08T07:59:08+0000,2021-06-08T09:27:54+0000,9201.92,,,29,26,1209.0,1192.0,2021-06-08T06:27:54,6.0,15.0,664.0,159.0,3821.098,3821.098
1636618412.0,running,2021-11-11T08:13:32+0000,2021-11-11T09:04:26+0000,5291.87,-569822970.0,-186452675.0,27,21,1210.2,1188.0,2021-11-11T06:04:26,42.0,57.0,328.0,182.0,1545.035,1545.035
1676793762.0,running,2023-02-19T08:02:42+0000,2023-02-19T08:33:56+0000,3349.91,-569828053.0,-186462053.0,29,25,1185.4,1174.4,2023-02-19T05:33:56,40.0,43.0,161.0,131.0,1851.771,1851.771
1693859316.0,running,2023-09-04T20:28:36+0000,2023-09-04T21:01:39+0000,6450.84,1654365383.0,-416423029.0,22,16,140.20000000000005,104.20000000000005,2023-09-05T06:31:39,34.0,44.0,392.0,171.0,1977.382,1977.382
1658391082.0,running,2022-07-21T08:11:22+0000,2022-07-21T08:38:51+0000,5335.84,-569830021.0,-186456122.0,26,21,1217.6,1205.4,2022-07-21T05:38:51,38.0,49.0,317.0,179.0,1643.568,1643.568
1661933650.0,running,2022-08-31T08:14:10+0000,2022-08-31T08:43:30+0000,5402.78,-569831040.0,-186456342.0,26,19,1213.2,1186.0,2022-08-31T05:43:30,57.0,77.0,313.0,154.0,1750.076,1750.076
1724313585.0,running,2024-08-22T07:59:45+0000,2024-08-22T10:07:10+0000,19490.11,-569825224.0,-186466366.0,30,22,1222.6,1153.2,2024-08-22T07:07:10,219.0,230.0,677.0,180.0,7633.236,7633.236
1694294651.0,hiking,2023-09-09T21:24:11+0000,2023-09-09T23:22:53+0000,8606.87,1654650054.0,-416369898.0,20,14,345.4,130.39999999999998,2023-09-10T08:52:53,328.0,341.0,541.0,156.0,7108.269,7108.269
1615708929.0,running,2021-03-14T08:02:09+0000,2021-03-14T08:53:29+0000,5281.99,-569829604.0,-186456641.0,28,23,1214.4,1203.2,2021-03-14T05:53:29,36.0,43.0,294.0,154.0,1575.532,1575.532
1664695555.0,running,2022-10-02T07:25:55+0000,2022-10-02T08:05:41+0000,7196.22,-569830444.0,-186455935.0,30,25,1212.8,1197.2,2022-10-02T05:05:41,70.0,81.0,446.0,165.0,2381.492,2381.492
1714635900.0,running,2024-05-02T07:45:00+0000,2024-05-02T10:04:49+0000,20961.44,-569825383.0,-186466303.0,30,23,1224.6,1154.8,2024-05-02T07:04:49,218.0,229.0,723.0,122.0,8377.859,8377.859
1712997317.0,running,2024-04-13T08:35:17+0000,2024-04-13T09:41:06+0000,10302.09,-569826220.0,-186466398.0,29,24,1220.8,1152.2,2024-04-13T06:41:06,131.0,138.0,350.0,120.0,3942.593,3942.593
